Date,Open,High,Low,Close,Volume
30-Dec-16,224.73,224.83,222.73,223.53,108998328
29-Dec-16,224.48,224.89,223.84,224.35,48696080
28-Dec-16,226.57,226.59,224.27,224.40,64095014
27-Dec-16,226.02,226.73,226.00,226.27,42672487
23-Dec-16,225.43,225.72,225.21,225.71,36697822
22-Dec-16,225.60,225.74,224.92,225.38,56219071
21-Dec-16,226.25,226.45,225.77,225.77,67909039
20-Dec-16,226.15,226.57,225.88,226.40,89838810
19-Dec-16,225.25,226.02,225.08,225.53,90341147
16-Dec-16,226.01,226.08,224.67,225.04,156420152
15-Dec-16,226.16,227.81,225.89,226.81,124972554
14-Dec-16,227.41,228.23,225.36,225.88,142501812
13-Dec-16,227.02,228.34,227.00,227.76,110477485
12-Dec-16,226.40,226.96,225.76,226.25,102016125
9-Dec-16,225.41,226.53,225.37,226.51,88005766
8-Dec-16,224.57,225.70,224.26,225.15,99714387
7-Dec-16,221.52,224.67,221.38,224.60,110738050
6-Dec-16,221.22,221.74,220.66,221.70,59877377
5-Dec-16,220.65,221.40,220.42,221.00,67837821
2-Dec-16,219.67,220.25,219.26,219.68,74840347
1-Dec-16,220.73,220.73,219.15,219.57,79040487
30-Nov-16,221.63,221.82,220.31,220.38,113291793
29-Nov-16,220.52,221.44,220.17,220.91,69886690
28-Nov-16,221.16,221.48,220.36,220.48,76572511
25-Nov-16,221.10,221.56,221.01,221.52,37872255
23-Nov-16,219.98,220.76,219.75,220.70,56620237
22-Nov-16,220.51,220.79,219.73,220.58,67428957
21-Nov-16,219.17,220.18,219.00,220.15,72402638
18-Nov-16,219.07,219.27,218.29,218.50,86265751
17-Nov-16,218.05,219.06,217.92,218.99,69797191
16-Nov-16,217.56,218.14,217.42,217.87,65617697
15-Nov-16,217.04,218.28,216.80,218.28,91652580
14-Nov-16,217.03,217.27,215.72,216.59,94579982
11-Nov-16,216.08,216.70,215.32,216.42,100552732
10-Nov-16,217.30,218.31,215.22,216.92,172113313
9-Nov-16,212.37,217.10,212.34,216.38,258428972
8-Nov-16,212.69,214.77,212.38,214.11,106772138
7-Nov-16,211.45,213.19,211.30,213.15,109794861
4-Nov-16,208.91,209.89,208.38,208.55,109122059
3-Nov-16,209.99,210.24,208.46,208.78,88939346
2-Nov-16,210.65,211.10,209.23,209.74,103330806
1-Nov-16,212.93,212.99,209.60,211.01,122781818
31-Oct-16,212.93,213.19,212.36,212.55,61272507
28-Oct-16,213.14,213.93,211.71,212.54,140623183
27-Oct-16,214.58,214.62,213.08,213.17,77220213
26-Oct-16,213.21,214.42,212.93,213.74,75705478
25-Oct-16,214.68,214.98,213.98,214.17,66542329
24-Oct-16,215.00,215.32,214.48,214.89,60146592
21-Oct-16,212.96,214.08,212.76,213.98,89089092
20-Oct-16,213.87,214.53,213.11,213.88,73639830
19-Oct-16,214.02,214.64,213.60,214.28,66519224
18-Oct-16,214.24,214.31,213.27,213.71,76869656
17-Oct-16,213.09,213.39,212.17,212.38,58275674
14-Oct-16,214.15,214.69,213.03,213.12,93346237
13-Oct-16,212.16,213.59,211.21,213.01,101356960
12-Oct-16,213.59,214.32,213.01,213.71,73866117
11-Oct-16,215.66,215.74,212.58,213.43,130367373
10-Oct-16,216.16,216.70,215.98,216.16,51855023
7-Oct-16,216.10,216.30,214.19,215.04,89788255
6-Oct-16,215.37,216.04,214.74,215.78,62927376
5-Oct-16,215.41,216.13,215.33,215.63,72815963
4-Oct-16,215.91,216.17,213.99,214.68,119948052
3-Oct-16,215.82,216.04,215.04,215.78,83512057
30-Sep-16,215.65,217.12,215.36,216.30,117202914
29-Sep-16,216.40,216.87,214.04,214.68,128070615
28-Sep-16,215.83,216.82,214.71,216.64,87411015
27-Sep-16,214.05,215.68,213.62,215.57,78494829
26-Sep-16,215.02,215.23,214.01,214.24,89827305
23-Sep-16,216.72,216.88,215.88,215.99,73630921
22-Sep-16,217.00,217.53,216.71,217.18,76678713
21-Sep-16,214.24,216.03,213.44,215.82,110284425
20-Sep-16,214.41,214.59,213.38,213.42,69665279
19-Sep-16,214.13,214.88,213.03,213.41,80250490
16-Sep-16,213.48,213.69,212.57,213.37,155236354
15-Sep-16,212.96,215.73,212.75,215.28,145736123
14-Sep-16,213.29,214.70,212.50,213.15,134185491
13-Sep-16,214.84,215.15,212.50,213.23,182828839
12-Sep-16,212.39,216.81,212.31,216.34,168110913
9-Sep-16,216.97,217.03,213.25,213.28,221589073
8-Sep-16,218.62,218.94,218.15,218.51,74102880
7-Sep-16,218.84,219.22,218.30,219.01,76554855
6-Sep-16,218.70,219.12,217.86,219.03,56702089
2-Sep-16,218.39,218.87,217.70,218.37,79293856
1-Sep-16,217.37,217.73,216.03,217.39,97844207
31-Aug-16,217.61,217.75,216.46,217.38,85269453
30-Aug-16,218.26,218.59,217.35,218.00,58114543
29-Aug-16,217.44,218.66,217.40,218.36,70502167
26-Aug-16,217.92,219.12,216.25,217.29,122506348
25-Aug-16,217.40,218.19,217.22,217.70,69224776
24-Aug-16,218.80,218.91,217.36,217.85,71728949
23-Aug-16,219.25,219.60,218.90,218.97,53399159
22-Aug-16,218.26,218.80,217.83,218.53,61368766
19-Aug-16,218.31,218.75,217.74,218.54,75443004
18-Aug-16,218.34,218.90,218.21,218.86,52989266
17-Aug-16,218.00,218.53,217.02,218.37,75134339
16-Aug-16,218.60,218.68,217.96,217.96,53213621
15-Aug-16,218.89,219.50,218.88,219.09,49813482
12-Aug-16,218.29,218.71,217.99,218.46,61313544
11-Aug-16,218.26,218.94,217.95,218.65,72504270
10-Aug-16,218.31,218.40,217.23,217.64,57941092
9-Aug-16,218.13,218.76,217.80,218.18,51251728
8-Aug-16,218.40,218.52,217.74,218.05,39906479
5-Aug-16,217.21,218.23,217.07,218.18,71892161
4-Aug-16,216.31,216.78,214.25,216.41,46585528
3-Aug-16,215.48,216.24,215.13,216.18,53993626
2-Aug-16,216.65,216.83,214.57,215.55,92295506
1-Aug-16,217.19,217.65,216.40,216.94,73311422
29-Jul-16,216.46,217.54,216.13,217.12,79519436
28-Jul-16,216.29,217.11,215.75,216.77,65035718
27-Jul-16,217.19,217.27,215.62,216.52,84083893
26-Jul-16,216.53,217.17,215.76,216.75,70080493
25-Jul-16,217.00,217.06,215.97,216.65,55873147
22-Jul-16,216.41,217.30,216.10,217.24,62787477
21-Jul-16,216.96,217.22,215.75,216.26,67777310
20-Jul-16,216.75,217.37,216.24,217.08,58159457
19-Jul-16,215.92,216.23,215.63,216.19,54345728
18-Jul-16,215.97,216.60,215.67,216.41,58725918
15-Jul-16,216.78,217.01,215.31,215.83,107155401
14-Jul-16,216.40,216.67,215.66,216.12,91230870
13-Jul-16,215.44,215.45,214.35,214.92,87324129
12-Jul-16,214.53,215.30,213.43,214.95,101275629
11-Jul-16,213.19,214.07,212.95,213.40,73633937
8-Jul-16,211.05,212.94,210.78,212.65,133970972
7-Jul-16,209.87,210.65,208.63,209.53,85593827
6-Jul-16,207.83,209.80,207.06,209.66,96021491
5-Jul-16,208.95,209.08,207.71,208.41,109803713
1-Jul-16,209.36,210.49,209.29,209.92,106055333
30-Jun-16,207.21,209.54,206.56,209.48,165021948
29-Jun-16,204.82,206.93,204.72,206.66,137328614
28-Jun-16,201.48,203.23,201.12,203.20,159382399
27-Jun-16,201.59,201.60,198.65,199.60,248988660
24-Jun-16,203.63,210.85,202.72,203.13,333444397
23-Jun-16,209.81,210.87,209.27,210.81,102731356
22-Jun-16,208.65,209.50,207.93,208.10,95560471
21-Jun-16,208.30,208.92,207.78,208.44,72461663
20-Jun-16,208.82,209.61,207.75,207.85,82789603
17-Jun-16,207.17,207.20,205.75,206.52,117055748
16-Jun-16,206.73,208.57,205.59,208.37,149533065
15-Jun-16,208.54,209.36,207.53,207.75,109124496
14-Jun-16,208.00,208.74,206.92,208.04,125059286
13-Jun-16,209.36,210.37,208.35,208.45,117751153
10-Jun-16,210.46,210.86,209.43,210.07,113829158
9-Jun-16,211.51,212.22,211.19,212.08,73786869
8-Jun-16,211.84,212.52,211.69,212.37,66170920
7-Jun-16,211.52,212.34,211.50,211.68,60974761
6-Jun-16,210.70,211.77,210.51,211.35,64887045
3-Jun-16,210.25,210.69,208.86,210.28,101757126
2-Jun-16,209.80,210.93,209.24,210.91,63044749
1-Jun-16,209.12,210.48,208.89,210.27,69936215
31-May-16,210.56,210.69,209.18,209.84,109879380
27-May-16,209.53,210.25,209.47,210.24,61633818
26-May-16,209.44,209.71,208.97,209.34,54330396
25-May-16,208.67,209.77,207.87,209.28,78059002
24-May-16,206.17,208.24,206.14,207.87,92183186
23-May-16,205.51,205.84,204.98,205.21,58382204
20-May-16,204.92,206.10,204.86,205.49,106391908
19-May-16,204.06,204.54,202.78,204.20,114213582
18-May-16,204.44,206.30,203.63,204.91,121676028
17-May-16,206.46,206.80,204.23,204.85,112758529
16-May-16,204.96,207.34,204.89,206.78,76651000
13-May-16,206.21,206.86,204.38,204.76,95946475
12-May-16,207.29,207.49,205.37,206.56,88843392
11-May-16,207.91,208.54,206.50,206.50,79920379
10-May-16,206.72,208.47,206.64,208.45,76445687
9-May-16,205.57,206.40,205.36,205.89,72649675
6-May-16,204.06,205.77,203.88,205.72,86900274
5-May-16,205.56,205.98,204.47,204.97,66549308
4-May-16,204.99,205.85,204.42,205.01,91312651
3-May-16,206.52,206.80,205.28,206.16,104707052
2-May-16,206.92,208.18,206.41,207.97,61624442
29-Apr-16,206.72,207.13,205.03,206.33,139941202
28-Apr-16,208.46,209.76,206.96,207.45,95931092
27-Apr-16,208.47,209.81,208.05,209.35,74785306
26-Apr-16,209.04,209.52,208.36,208.92,73631053
25-Apr-16,208.26,208.66,207.54,208.61,65772156
22-Apr-16,208.55,209.29,207.91,208.97,97485534
21-Apr-16,210.12,210.25,208.65,208.97,80790054
20-Apr-16,209.95,210.92,209.39,210.10,77333907
19-Apr-16,209.74,210.20,208.94,209.90,86869547
18-Apr-16,207.14,209.28,207.00,209.24,81477881
15-Apr-16,208.01,208.17,207.40,207.78,75123038
14-Apr-16,208.07,208.60,207.60,208.01,64763839
13-Apr-16,207.00,208.10,206.84,208.00,93840162
12-Apr-16,204.22,206.25,203.70,205.92,113056789
11-Apr-16,205.25,206.07,203.91,204.02,81496090
8-Apr-16,205.34,205.85,203.87,204.50,94553515
7-Apr-16,205.14,205.56,203.09,203.95,111208660
6-Apr-16,204.29,206.49,203.98,206.42,91167807
5-Apr-16,204.67,206.26,203.89,204.19,90930441
4-Apr-16,206.83,207.07,205.89,206.25,62340197
1-Apr-16,204.35,207.14,203.98,206.92,112704924
31-Mar-16,205.91,206.41,205.33,205.52,93143793
30-Mar-16,206.30,206.87,205.59,206.02,83166291
29-Mar-16,202.76,205.25,202.40,205.12,90977994
28-Mar-16,203.61,203.86,202.70,203.24,61514340
24-Mar-16,202.00,203.16,201.74,203.12,83607327
23-Mar-16,204.11,204.33,203.01,203.21,79840502
22-Mar-16,203.76,205.23,203.57,204.56,96209380
21-Mar-16,204.07,204.94,203.80,204.67,70591212
18-Mar-16,204.17,204.78,203.80,204.38,134715170
17-Mar-16,203.24,205.23,202.77,204.63,130871283
16-Mar-16,201.60,203.82,201.55,203.34,125361832
15-Mar-16,201.36,202.53,201.05,202.17,93169090
14-Mar-16,202.16,203.04,201.77,202.50,73346912
11-Mar-16,201.26,202.81,199.52,202.76,135926900
10-Mar-16,199.96,201.07,197.38,199.54,154899074
9-Mar-16,199.36,199.79,198.43,199.38,93372316
8-Mar-16,199.32,199.92,198.21,198.40,121952823
7-Mar-16,199.34,201.07,199.25,200.59,99778790
4-Mar-16,200.01,201.35,199.03,200.43,127953606
3-Mar-16,198.79,199.80,198.11,199.78,94597431
2-Mar-16,197.74,199.06,197.25,199.00,101264715
1-Mar-16,195.01,198.21,194.45,198.11,139070843
29-Feb-16,195.11,196.23,193.33,193.35,122448542
26-Feb-16,196.57,196.68,194.90,195.09,128348228
25-Feb-16,193.73,195.55,192.83,195.54,109183249
24-Feb-16,190.63,193.53,189.32,193.20,149607920
23-Feb-16,194.00,194.32,192.18,192.32,109902798
22-Feb-16,193.87,194.95,193.79,194.78,101699014
19-Feb-16,191.17,192.18,190.45,192.00,114081542
18-Feb-16,193.20,193.27,191.72,192.09,101076515
17-Feb-16,191.16,193.32,191.01,192.88,134203601
16-Feb-16,188.77,189.81,187.63,189.78,115542766
12-Feb-16,184.96,186.65,183.96,186.63,127093730
11-Feb-16,182.34,184.10,181.09,182.86,214629542
10-Feb-16,186.41,188.34,185.12,185.27,146910485
9-Feb-16,183.36,186.94,183.20,185.43,179281791
8-Feb-16,185.77,186.12,182.80,185.42,189248416
5-Feb-16,190.99,191.67,187.20,187.95,178436180
4-Feb-16,190.71,192.75,189.96,191.60,137261874
3-Feb-16,191.41,191.78,187.10,191.30,204060878
2-Feb-16,191.96,191.97,189.54,190.16,175500039
1-Feb-16,192.53,194.58,191.84,193.65,133582159
29-Jan-16,190.02,193.88,189.88,193.72,204034161
28-Jan-16,189.96,190.20,187.16,189.11,142851654
27-Jan-16,189.58,191.56,187.06,188.13,184186327
26-Jan-16,188.42,190.53,188.02,190.20,138004751
25-Jan-16,189.92,190.15,187.41,187.64,127112162
22-Jan-16,189.78,190.76,188.88,190.52,166679398
21-Jan-16,186.21,188.87,184.64,186.69,191085235
20-Jan-16,185.03,187.50,181.02,185.65,283288870
19-Jan-16,189.96,190.11,186.20,188.06,192723808
15-Jan-16,186.77,188.76,185.52,187.81,317904944
14-Jan-16,189.55,193.26,187.66,191.93,237705564
13-Jan-16,194.45,194.86,188.38,188.83,218780219
12-Jan-16,193.82,194.55,191.14,193.66,172330490
11-Jan-16,193.01,193.41,189.82,192.11,187941323
8-Jan-16,195.19,195.85,191.58,191.92,209817228
7-Jan-16,195.33,197.44,193.59,194.05,213436073
6-Jan-16,198.34,200.06,197.60,198.82,152112604
5-Jan-16,201.40,201.90,200.05,201.36,110845849
4-Jan-16,200.49,201.03,198.59,201.02,218722198
